timestamp,distance,group
0,5.80405643829548,101.0
900,5.8075746239693151,101.0
1800,5.7990237055435658,101.0
2700,5.8140685762120734,101.0
3600,5.7866865714682287,101.0
4500,5.7895609175390144,101.0
5400,5.7860934505338903,101.0
6300,5.8126260806290633,101.0
7200,5.8084637742234415,101.0
8100,5.7896630709450099,101.0
9000,5.8061336765371365,101.0
9900,5.7969605236605233,101.0
10800,5.7927660385015631,101.0
11700,5.8155567984866661,101.0
12600,5.805816133425572,101.0
13500,5.8099293487001189,101.0
14400,5.8019544058650725,101.0
15300,5.8094563757703508,101.0
16200,5.7882411257156985,101.0
17100,5.7993836783367883,101.0
18000,5.7873629339159427,101.0
18900,5.9488983592450468,101.0
19800,5.3163084899619664,101.0
20700,5.8509813319193382,101.0
21600,6.5768235311437291,101.0
22500,4.3306589599381002,101.0
23400,1.7011215827997461,101.0
24300,0.46329024521738765,101.0
25200,0.060547135125750134,101.0
26100,0.059819479732948065,101.0
27000,0.060851130535277388,101.0
27900,0.065695212607090867,101.0
28800,0.07598459965925862,101.0
29700,0.058211433419944759,101.0
30600,0.053328453259433702,101.0
31500,0.046263626903199039,101.0
32400,0.032319043470629881,101.0
33300,0.038006878838682236,101.0
34200,0.029994030128212255,101.0
35100,0.029725084165325301,101.0
36000,0.031614512354188322,101.0
36900,0.026538214755624623,101.0
37800,0.024517298260573146,101.0
38700,0.034451879700238712,101.0
39600,0.02078124564385669,101.0
40500,0.034488716834279162,101.0
41400,0.32931222467287619,101.0
42300,0.15333053654288376,101.0
43200,0.42035202482008005,101.0
44100,1.6823055244210199,101.0
45000,2.7164882366368284,101.0
45900,2.4481123644746421,101.0
46800,2.1551315250856273,101.0
47700,2.1473427096601356,101.0
48600,2.1627056112967771,101.0
49500,7.8423395605001298,101.0
50400,7.6793693305654429,101.0
51300,7.6139552484229895,101.0
52200,7.3987752519778081,101.0
53100,7.5579786762449386,101.0
54000,7.5167299165518138,101.0
54900,7.4688827329397274,101.0
